,critic,actor,cum_rewards,tau,theta
0,8.383749933242798,0.007854459821828641,-1189.9388787859152,0.01,0.75
1,22.797694692611696,0.5759129029139877,-1387.9795330977265,0.01,0.75
2,21.59289234161377,2.1763458424806594,-1429.4350966624693,0.01,0.75
3,19.7092458486557,4.0995174455642704,-1618.8248765600124,0.01,0.75
4,18.327149753570556,6.546665689945221,-1535.9182512563716,0.01,0.75
5,14.995989751815795,11.155550532341003,-1669.5735837416187,0.01,0.75
6,12.526951098442078,17.302524747848512,-1592.6809920885275,0.01,0.75
7,12.506995615959168,22.2740687084198,-1538.6103105568993,0.01,0.75
8,12.006575255393981,27.65058038711548,-1491.7788518047428,0.01,0.75
9,11.65938339471817,33.49571862220764,-1470.6635847433386,0.01,0.75
10,12.520687520503998,40.23755992889404,-1405.4383422099622,0.01,0.75
11,13.292212376594543,47.158485908508304,-1395.4261135462325,0.01,0.75
12,16.022739903926848,54.31264715194702,-1251.7628453916645,0.01,0.75
13,20.841602647304533,63.59670745849609,-1528.9412643394612,0.01,0.75
14,27.842413656711578,75.3232776260376,-1561.8256342906684,0.01,0.75
15,38.5853983259201,87.77903171539306,-1659.2555066072782,0.01,0.75
16,50.895556087493894,98.89788555145263,-1581.2786690700364,0.01,0.75
17,63.40325687408447,111.10465740203857,-1650.2634918503961,0.01,0.75
18,81.5554393196106,122.49727355957032,-1601.7008108000703,0.01,0.75
19,92.78098608970642,131.95418823242187,-1493.488157543341,0.01,0.75
20,100.94864557266236,140.09031997680665,-1137.6408043396623,0.01,0.75
21,96.01481986999512,145.69149955749512,-1233.362342176838,0.01,0.75
22,134.5352670097351,150.266279296875,-1284.7320087855646,0.01,0.75
23,145.25413801193238,153.73389015197753,-1182.4647841995486,0.01,0.75
24,127.95501261711121,158.09309295654296,-1194.5095933039781,0.01,0.75
25,127.73546251296997,161.75466522216797,-1156.3743940836384,0.01,0.75
26,138.3283014678955,166.14353233337403,-1200.6057074871087,0.01,0.75
27,137.32923231124877,169.8234482574463,-1181.9364033885904,0.01,0.75
28,157.36973487854004,174.0790982055664,-1197.1257813092093,0.01,0.75
29,172.0909928512573,176.9773442840576,-1174.0249752838463,0.01,0.75
30,137.78385040283203,180.30694435119628,-1189.1053375300341,0.01,0.75
31,157.5868047904968,182.50136276245118,-1179.860193752697,0.01,0.75
32,160.793182220459,184.54359886169433,-1080.321114577751,0.01,0.75
33,176.5851224708557,187.39959701538086,-1112.741083481927,0.01,0.75
34,175.61860200881958,189.35473693847655,-1069.39985565781,0.01,0.75
35,163.44662298202513,191.74259536743165,-1023.9152606379719,0.01,0.75
36,163.2607752227783,193.7413638305664,-1024.0026700288336,0.01,0.75
37,162.69644491195677,194.35189308166503,-1018.3046891592721,0.01,0.75
38,169.56568254470824,195.95017120361328,-1087.2392527704717,0.01,0.75
39,156.6620949935913,197.4397686767578,-908.6918999948509,0.01,0.75
40,163.22763050079345,197.65846694946288,-1064.599958051452,0.01,0.75
41,153.4909571647644,198.64513801574708,-983.7539602738657,0.01,0.75
42,145.94804567337036,200.46621940612792,-918.9930297135936,0.01,0.75
43,166.4514917945862,200.37396995544432,-1069.5730300540415,0.01,0.75
44,149.93549637794496,201.8012924194336,-1079.1116270615335,0.01,0.75
45,143.3292945098877,202.08628684997558,-1139.843802985814,0.01,0.75
46,143.5761105442047,202.86414863586427,-1082.6442499127002,0.01,0.75
47,141.90484745025634,203.21905235290527,-943.3512471871448,0.01,0.75
48,135.83227781295776,204.27420318603515,-1045.7670956581267,0.01,0.75
49,131.28721897125243,204.72278106689453,-1136.284412497936,0.01,0.75
50,137.9330771446228,205.71032249450684,-985.2054761849269,0.01,0.75
51,127.43014936447143,206.49907676696776,-1248.4221571280445,0.01,0.75
52,136.7859559726715,208.50880508422853,-933.2985827487403,0.01,0.75
53,130.15369472980498,209.44169570922853,-1214.5714849631108,0.01,0.75
54,140.9296692609787,211.07796325683594,-1436.9516277202183,0.01,0.75
55,110.51192560195923,212.8587905883789,-1196.0894719952053,0.01,0.75
56,121.20776860237122,215.05147842407226,-1406.870821437366,0.01,0.75
57,146.85444102287292,216.11086235046386,-1415.5709481657348,0.01,0.75
58,121.50963751792908,218.32928840637206,-1412.7168232714396,0.01,0.75
59,159.08286872386932,220.37335388183592,-1511.5047236224023,0.01,0.75
60,148.78844669818878,221.7053143310547,-1439.3090028262914,0.01,0.75
61,152.88650842666627,224.5940705871582,-1459.6873133582062,0.01,0.75
62,168.00913101673126,225.74091720581055,-1504.9230829116595,0.01,0.75
63,161.43451743125917,227.22374366760255,-1369.5251319593094,0.01,0.75
