,critic,actor,cum_rewards,tau,theta
0,7.93448224067688,0.17086322516202926,-900.1956475827052,1.0,1.0
1,25.411408996582033,1.0807077443599702,-1756.21735810655,1.0,1.0
2,28.097587251663207,2.7391807228326797,-1170.3579248720603,1.0,1.0
3,27.164976081848145,6.116426618099212,-1577.723366588601,1.0,1.0
4,28.379052801132204,13.670675196647643,-1565.1810398206844,1.0,1.0
5,30.148317852020263,24.95662522315979,-1282.4347026157243,1.0,1.0
6,29.632944850921632,37.92934217453003,-1469.8717085758055,1.0,1.0
7,31.44563901901245,48.50132532119751,-1364.820566432286,1.0,1.0
8,37.3957808303833,58.124574985504154,-1681.4683881556061,1.0,1.0
9,45.10826138496399,68.70940507888794,-1482.2725021859906,1.0,1.0
10,54.80338547706604,79.25018323898315,-1614.1632049918976,1.0,1.0
11,62.9827904510498,91.26225067138672,-1864.479732383635,1.0,1.0
12,86.59925472259522,105.21499282836913,-1464.1195995515152,1.0,1.0
13,97.83953216552734,120.73793422698975,-1593.536768074377,1.0,1.0
14,125.3352487373352,140.46927867889406,-1650.7553237192512,1.0,1.0
15,169.99045837402343,159.41463287353517,-1480.5794938527224,1.0,1.0
16,199.5557138442993,178.33648651123048,-1527.5270082623956,1.0,1.0
17,242.00220069885253,203.21789909362792,-1595.543758149124,1.0,1.0
18,319.76913753509524,230.61845848083496,-1460.7198590830812,1.0,1.0
19,428.74624214172366,257.53448936462405,-1592.9542885328879,1.0,1.0
20,436.9378652954102,283.7852702331543,-1583.3161996338708,1.0,1.0
21,539.0696630859375,300.00062026977537,-1491.0664282347466,1.0,1.0
22,691.1968455505371,316.2389775085449,-1575.578635898966,1.0,1.0
23,698.8936647796631,321.65594482421875,-1373.5163779372383,1.0,1.0
24,662.765933380127,324.8379937744141,-1637.7370504772439,1.0,1.0
25,701.7276750183105,332.80362518310545,-1604.1953201249166,1.0,1.0
26,714.7852333831787,339.31738784790036,-1710.1876736134882,1.0,1.0
27,674.2081108093262,341.42724380493166,-1591.835438102937,1.0,1.0
28,811.9369830322265,351.971075592041,-1631.604783232851,1.0,1.0
29,826.9539157867432,357.0004527282715,-1632.638001097568,1.0,1.0
30,772.3745915222167,363.59244674682617,-1677.1494819917054,1.0,1.0
31,910.0504280090332,365.01423355102537,-1708.8573145886526,1.0,1.0
32,789.5852055358887,362.89708038330076,-1596.3779405596144,1.0,1.0
33,842.4122805023194,355.30906112670897,-1583.6482449753726,1.0,1.0
34,829.1352180480957,350.64928466796874,-1586.354196224537,1.0,1.0
35,743.9778326416016,343.8443377685547,-1624.375942902156,1.0,1.0
36,726.0553524017334,341.25397827148436,-1554.901189662644,1.0,1.0
37,726.2935489654541,336.0957847595215,-1541.9284681693728,1.0,1.0
38,706.4057454681397,332.4040473937988,-1484.5668313682772,1.0,1.0
39,743.9613698577881,326.8414889526367,-1357.981259661226,1.0,1.0
40,727.2695009613037,323.391534576416,-1367.0228355663332,1.0,1.0
41,641.0252684783935,318.18911041259764,-1517.5772327394877,1.0,1.0
42,528.2789791107177,320.9622644042969,-1579.2588593994772,1.0,1.0
43,661.7795346832276,321.4755339050293,-1120.7758877636525,1.0,1.0
44,583.5885293579101,321.06396560668946,-1589.290974088691,1.0,1.0
45,580.0440036010742,322.15519927978517,-1155.8487293011547,1.0,1.0
46,598.7962032318115,323.67975173950197,-1596.8222460488319,1.0,1.0
47,590.5603356933593,324.00829177856446,-1516.6501076774043,1.0,1.0
48,589.8892524719238,322.3875370788574,-1203.565488605333,1.0,1.0
49,518.5038692474366,320.44901931762695,-1269.8205153088238,1.0,1.0
50,579.2815949249267,316.71357421875,-1285.660863821463,1.0,1.0
51,575.5459182739257,319.9862550354004,-1652.683079110503,1.0,1.0
52,560.2694504547119,323.23882659912107,-1636.2815885971618,1.0,1.0
53,607.8730972290039,326.10750366210937,-1595.5976647005618,1.0,1.0
54,603.3373012542725,325.495051574707,-1642.8242421337088,1.0,1.0
55,562.3203699493408,325.2190365600586,-1513.1618232487706,1.0,1.0
56,585.51017288208,324.525274810791,-1589.4071109864653,1.0,1.0
57,625.3302555084229,327.1089796447754,-1467.333186624839,1.0,1.0
58,544.3615154266357,326.6015505981445,-1605.6595997653485,1.0,1.0
59,712.5044499969482,326.83670333862307,-1494.2661060375513,1.0,1.0
60,578.3997801971435,327.90522872924805,-1525.2782674253688,1.0,1.0
61,606.2649799346924,328.31183517456054,-1502.0032539326146,1.0,1.0
62,599.5784709167481,323.99793121337893,-1425.5327329046033,1.0,1.0
63,559.7377279663086,325.36817169189453,-1313.1987659031083,1.0,1.0
64,513.9547805404663,322.5203715515137,-1870.6524087026773,1.0,1.0
65,492.7796913146973,321.1620680236816,-1854.739313884502,1.0,1.0
66,491.50980773925784,319.99506057739256,-1852.3062910992887,1.0,1.0
67,461.56949123382566,316.39419158935544,-1674.3151991954846,1.0,1.0
68,406.4808323287964,314.13380966186526,-1519.9763725164075,1.0,1.0
69,398.5279427909851,311.8056817626953,-1521.3119075305624,1.0,1.0
70,409.43357666015623,308.58513214111326,-1133.76746245869,1.0,1.0
71,395.1221557617188,302.9085983276367,-1538.3989028126593,1.0,1.0
72,362.5510122871399,300.54977462768557,-1076.1478135263496,1.0,1.0
73,305.78221366882326,295.8557012939453,-1041.1731390014206,1.0,1.0
74,267.09761759758,291.8351156616211,-1550.5681567902548,1.0,1.0
75,237.1218785190582,288.8501737976074,-935.8623733754971,1.0,1.0
76,243.66444860458375,286.4409405517578,-1055.7701533895552,1.0,1.0
77,248.61931243896484,279.9310650634766,-1575.8660689937642,1.0,1.0
78,248.4963731575012,275.00434097290037,-1058.8745323992985,1.0,1.0
79,216.63352533340455,270.8717265319824,-1577.8167819798682,1.0,1.0
80,198.23190618515014,268.4705958557129,-1507.1791303961706,1.0,1.0
81,205.51716059684753,266.1313666534424,-963.7286854273495,1.0,1.0
82,195.4172796535492,264.310806427002,-1707.3256380985313,1.0,1.0
83,195.92323155403136,265.30231422424316,-963.0835494224123,1.0,1.0
84,226.1378482723236,266.865233001709,-955.3069428951749,1.0,1.0
85,202.18540545463563,266.0443353271484,-1508.2995486022492,1.0,1.0
86,218.86713976860045,267.5566830444336,-998.0775167638892,1.0,1.0
87,209.02007070541381,270.92047424316405,-908.3159311754348,1.0,1.0
88,248.40928581237793,272.8322392272949,-1172.1189769451687,1.0,1.0
89,159.6157765483856,277.8958416748047,-973.0641914869313,1.0,1.0
90,208.79547657966614,283.2362782287598,-1493.763856974269,1.0,1.0
91,212.49853116989135,286.5982066345215,-1052.4295282167416,1.0,1.0
92,210.73184607982637,290.6490324401855,-969.1889432916912,1.0,1.0
93,200.57897776603699,295.6920527648926,-1503.7833153301312,1.0,1.0
94,262.72589659690857,301.3756199645996,-965.8364930407266,1.0,1.0
95,216.2594325685501,307.32824111938476,-1491.813951172512,1.0,1.0
96,246.41890715122224,313.5664181518555,-1466.1125442985167,1.0,1.0
97,313.29886994838716,317.17781158447264,-1478.2899351687515,1.0,1.0
98,254.60927750587464,318.64332916259764,-970.0344776399721,1.0,1.0
99,270.9274227619171,325.7537873840332,-1100.8268966079008,1.0,1.0
100,301.12721805095674,330.85124099731445,-1196.4615686152667,1.0,1.0
101,283.1361085653305,334.2513819885254,-1502.6688245243245,1.0,1.0
102,278.23490060806273,339.39862243652345,-1456.833974996518,1.0,1.0
103,340.5341657829285,341.6302244567871,-1365.027171808539,1.0,1.0
104,330.7027679014206,342.4751324462891,-1473.5624243710265,1.0,1.0
105,314.32038063049316,344.1093922424316,-1513.6055945129553,1.0,1.0
106,306.04877429008485,346.1005911254883,-1502.2151837821225,1.0,1.0
107,395.60517268657685,344.1276176452637,-1393.7223551923212,1.0,1.0
108,329.7815418815613,340.70285903930665,-1494.7002935895898,1.0,1.0
109,339.26761216163635,341.4344201660156,-1468.2348076804626,1.0,1.0
110,308.20425607204436,342.6502421569824,-1538.551690262154,1.0,1.0
111,338.2780661725998,345.77397064208986,-1507.7277244965694,1.0,1.0
112,306.88961777687075,346.38066162109374,-1571.4277347063928,1.0,1.0
113,390.060971903801,347.5052166748047,-1481.4832213988109,1.0,1.0
114,306.60405291080474,346.9945999145508,-1130.049851533021,1.0,1.0
115,307.96499039173125,349.1666516113281,-1200.743761665047,1.0,1.0
116,306.34548820495604,352.09384353637694,-1448.1929606009085,1.0,1.0
117,354.18023926734924,352.12529495239255,-1557.329253663012,1.0,1.0
118,334.29620802879333,354.1618727111816,-1460.5019025672298,1.0,1.0
119,329.85933902740476,355.33298767089843,-1453.5924183943316,1.0,1.0
120,339.0213235759735,355.4784953308106,-1250.5437407218083,1.0,1.0
121,328.1918592739105,356.62565505981445,-1471.6830759482677,1.0,1.0
122,325.65285552978514,357.2770568847656,-1439.4411967639207,1.0,1.0
123,327.1917778015137,360.3285026550293,-1399.3521301808503,1.0,1.0
124,357.45854339122775,360.9764402770996,-1511.7668328731143,1.0,1.0
125,319.8079603528976,363.86278305053713,-1488.9428102382076,1.0,1.0
126,366.1659300708771,366.96806549072267,-1481.1645289372582,1.0,1.0
127,358.96911911010744,368.66676589965823,-1506.0645240566273,1.0,1.0
128,348.1623616886139,370.7065954589844,-1213.1443260328424,1.0,1.0
129,376.1882492494583,371.0619171142578,-1349.9957722991735,1.0,1.0
130,375.8666181612015,372.2571426391602,-1379.6238104521417,1.0,1.0
131,367.56032213211057,371.4975457763672,-1391.1439214292748,1.0,1.0
132,311.95821352005004,374.7949105834961,-1471.52526315154,1.0,1.0
133,370.7564653778076,379.02343338012696,-1541.3616903739444,1.0,1.0
134,379.71672203063963,378.8010835266113,-1437.0460285540366,1.0,1.0
135,358.69427849292754,379.95053955078123,-1496.0020391426199,1.0,1.0
136,369.48563642024993,379.44579849243166,-1094.419188942244,1.0,1.0
137,336.0875800466537,386.15649826049804,-1508.1198947646967,1.0,1.0
138,417.86629266262054,386.49886138916014,-1569.5912755556362,1.0,1.0
139,411.39898708820346,385.8447625732422,-1545.3301907859486,1.0,1.0
140,409.6228107213974,384.6127227783203,-1294.6591035351714,1.0,1.0
141,365.2111779880524,386.2154330444336,-1315.3455855083064,1.0,1.0
142,373.187021317482,388.28532974243166,-1516.6463304925505,1.0,1.0
143,446.17298694133757,389.2684733581543,-1490.5174753907281,1.0,1.0
144,399.7667921257019,388.56387817382813,-1357.378305229947,1.0,1.0
145,357.77341307640074,392.57690933227536,-1494.128670412683,1.0,1.0
146,407.2309773254394,396.55554122924804,-1467.984243122799,1.0,1.0
