,critic,actor,tau,theta
0,7.982343349456787,0.12507390517741443,0.01,0.25
1,21.875756406784056,1.8664064031839371,0.01,0.25
2,18.607177414894103,4.928543000221253,0.01,0.25
3,15.491056308746337,7.692578499317169,0.01,0.25
4,12.947126393318177,10.774912419319152,0.01,0.25
5,11.214577004909515,14.397300586700439,0.01,0.25
6,10.018376696109772,18.855314011573792,0.01,0.25
7,10.088870878219604,23.882892665863036,0.01,0.25
8,11.33388686656952,28.757621974945067,0.01,0.25
9,12.153517684936524,34.45669439315796,0.01,0.25
10,13.093490285873413,40.85152351379394,0.01,0.25
11,14.40043074131012,47.97815486907959,0.01,0.25
12,17.285199642181396,55.61468187332153,0.01,0.25
13,20.180644698143006,63.852381744384765,0.01,0.25
14,23.05366094112396,73.25339698791504,0.01,0.25
15,30.959417428970337,81.91691730499268,0.01,0.25
16,36.28390235900879,91.93151008605957,0.01,0.25
17,44.38539324760437,102.40783634185792,0.01,0.25
18,55.17802309036255,112.91348964691161,0.01,0.25
19,66.01555908203125,123.50669776916504,0.01,0.25
20,73.08945141792297,133.46287410736085,0.01,0.25
21,91.42468823432922,143.03071357727052,0.01,0.25
22,114.29377119064331,152.4067819213867,0.01,0.25
23,129.41667810440063,160.4051258087158,0.01,0.25
24,134.99239053726197,168.12071952819824,0.01,0.25
25,147.03464462280274,174.66992919921876,0.01,0.25
26,154.7561298751831,179.00175888061523,0.01,0.25
27,151.17155906677246,182.83374229431152,0.01,0.25
28,179.96151456832885,187.57101921081542,0.01,0.25
29,183.5469827079773,192.59872741699218,0.01,0.25
30,175.64096410751344,197.31047187805177,0.01,0.25
31,212.38650691986084,202.78390533447265,0.01,0.25
32,197.10135925292968,207.21268363952638,0.01,0.25
33,217.08950735092162,212.2776676940918,0.01,0.25
34,233.23526195526122,216.47836128234863,0.01,0.25
35,245.95217140197755,221.72147285461426,0.01,0.25
36,249.8001667022705,226.49079330444337,0.01,0.25
37,272.93619132995605,231.09183197021486,0.01,0.25
38,318.5656861877441,235.8220750427246,0.01,0.25
39,326.14963024139405,239.8347840118408,0.01,0.25
40,339.7485213470459,242.53460540771485,0.01,0.25
41,335.2797900772095,245.34535591125487,0.01,0.25
42,317.2724440383911,248.5610213470459,0.01,0.25
43,355.0689231109619,251.44905471801758,0.01,0.25
44,331.41959831237796,254.27897018432617,0.01,0.25
45,329.6430033111572,257.27862815856935,0.01,0.25
46,358.68608386993407,260.9852462768555,0.01,0.25
47,339.51815467834473,263.57071670532224,0.01,0.25
48,375.7796348190308,266.33067901611327,0.01,0.25
49,336.94332389831544,268.6336386871338,0.01,0.25
50,351.32031669616697,270.8486637878418,0.01,0.25
51,328.8947605895996,271.8651470947266,0.01,0.25
52,322.12819122314454,273.0602946472168,0.01,0.25
53,305.56445543289186,274.74921752929686,0.01,0.25
54,310.77016363143923,275.3263511657715,0.01,0.25
55,258.57649421691895,275.81097244262696,0.01,0.25
56,260.7104307937622,274.5273071289063,0.01,0.25
57,293.86907407760623,273.86899673461915,0.01,0.25
58,229.4736378479004,273.42074752807616,0.01,0.25
59,273.1715621185303,273.31198471069337,0.01,0.25
60,256.54238357543943,273.2180757904053,0.01,0.25
61,239.47216955184936,272.5807528686523,0.01,0.25
62,255.13877487182617,269.64176208496093,0.01,0.25
63,240.90692489624024,268.5448672485352,0.01,0.25
64,232.5783911705017,266.160241317749,0.01,0.25
65,214.0788083267212,264.4824514007568,0.01,0.25
66,191.87498193740845,263.3869275665283,0.01,0.25
67,221.05560771942137,262.42289001464843,0.01,0.25
68,198.33231810569762,260.9120706176758,0.01,0.25
69,195.59525354385377,260.9133017730713,0.01,0.25
70,217.95647443294524,259.88688804626463,0.01,0.25
71,210.911565656662,258.32512145996094,0.01,0.25
72,197.64604330062866,257.9316242980957,0.01,0.25
73,188.26478782653808,257.8198988342285,0.01,0.25
74,180.73368681907652,257.3171154022217,0.01,0.25
75,177.3238321018219,257.98600700378415,0.01,0.25
76,165.9647202396393,258.81639823913576,0.01,0.25
77,195.86575170993805,258.86350448608397,0.01,0.25
78,188.19491960048674,259.87853721618654,0.01,0.25
79,181.8742360687256,261.4350811004639,0.01,0.25
80,185.2818234014511,262.16047340393067,0.01,0.25
81,203.04723681926728,263.0461686706543,0.01,0.25
82,181.54831906318665,264.2338488769531,0.01,0.25
83,189.97735662460326,265.3312617492676,0.01,0.25
84,217.43380962371828,266.26116149902344,0.01,0.25
85,201.26221420288087,267.4324284362793,0.01,0.25
86,225.823474316597,267.6611772155762,0.01,0.25
87,198.92553754329683,268.5941941833496,0.01,0.25
88,234.4977225780487,269.3998077392578,0.01,0.25
89,142.86441337108613,271.04990890502927,0.01,0.25
90,181.9724270296097,272.2133070373535,0.01,0.25
91,181.81914640426635,273.53157501220704,0.01,0.25
92,178.4709996175766,274.8422848510742,0.01,0.25
93,158.41439255952835,276.90397491455076,0.01,0.25
94,215.73730386018752,278.0722846984863,0.01,0.25
95,169.41642121076583,280.23645935058596,0.01,0.25
96,181.46871875047682,281.8422055053711,0.01,0.25
97,236.72082566976547,283.5519319152832,0.01,0.25
98,189.8078422164917,284.93416687011717,0.01,0.25
99,196.30859944581985,287.26839614868163,0.01,0.25
100,222.68159060478212,289.19603546142577,0.01,0.25
101,208.6919177865982,290.91298599243163,0.01,0.25
102,196.02420181035995,293.42130264282224,0.01,0.25
103,243.22819556951524,294.7747299194336,0.01,0.25
104,237.91951088905336,296.3537887573242,0.01,0.25
105,225.4602269077301,298.2735327148437,0.01,0.25
106,224.0056455731392,300.09626556396483,0.01,0.25
107,292.54390885353087,301.3891909790039,0.01,0.25
108,258.4559371185303,301.91242080688477,0.01,0.25
109,265.5861924695969,303.3443327331543,0.01,0.25
110,239.48850698471068,304.55739089965823,0.01,0.25
111,268.150001347065,306.29725204467775,0.01,0.25
112,231.30542053461076,308.2830728149414,0.01,0.25
113,299.7129525828361,309.250343170166,0.01,0.25
114,249.02829402685165,310.41002655029297,0.01,0.25
115,242.2273714518547,311.37375091552735,0.01,0.25
116,239.43850912570954,313.18174880981445,0.01,0.25
117,286.38708720684053,313.6646842956543,0.01,0.25
118,253.22840005397796,315.3755569458008,0.01,0.25
119,252.7053496813774,316.15491592407227,0.01,0.25
120,270.1624883770943,317.0304360961914,0.01,0.25
121,261.90130277633665,318.46213195800783,0.01,0.25
122,269.77411691188814,319.6726484680176,0.01,0.25
123,270.15910629034045,320.62272048950194,0.01,0.25
124,280.8576652145386,321.35381942749024,0.01,0.25
125,252.64267320156097,322.2041064453125,0.01,0.25
126,279.6038789200783,323.2443614196777,0.01,0.25
127,283.90754237174986,323.98275466918943,0.01,0.25
128,269.28167727231977,324.9575914001465,0.01,0.25
129,296.98883418083193,326.2310249328613,0.01,0.25
130,296.96087477207186,326.39471908569334,0.01,0.25
131,281.1764390158653,327.4219931030273,0.01,0.25
132,249.9315849661827,328.8357145690918,0.01,0.25
133,291.19611940145495,329.6903544616699,0.01,0.25
