,critic,actor,tau,theta
0,10.911652135849,0.28749571114778516,0.01,0.5
1,23.913011026382446,1.9541330009698867,0.01,0.5
2,18.816606278419496,4.931381905078888,0.01,0.5
3,15.626823720932007,8.95695214509964,0.01,0.5
4,14.16112672805786,12.898392472267151,0.01,0.5
5,11.991896486282348,17.385663919448852,0.01,0.5
6,11.036656813621521,22.67081711769104,0.01,0.5
7,10.912104029655456,28.68921827316284,0.01,0.5
8,11.321494603157044,35.18953709602356,0.01,0.5
9,12.161917037963867,42.776740055084225,0.01,0.5
10,13.22168074607849,50.54626493453979,0.01,0.5
11,14.723271181583405,58.98216077804565,0.01,0.5
12,18.172513709068298,68.03294715881347,0.01,0.5
13,20.954243693351746,77.5018985748291,0.01,0.5
14,25.128902473449706,87.55727741241455,0.01,0.5
15,32.71510065555572,96.96594760894776,0.01,0.5
16,37.62989468097687,107.1840428161621,0.01,0.5
17,44.004990844726564,117.13636337280273,0.01,0.5
18,48.111825466156006,127.13840644836426,0.01,0.5
19,58.286074542999266,136.78130699157714,0.01,0.5
20,57.441145992279054,146.15535438537597,0.01,0.5
21,65.2578928232193,155.0841665649414,0.01,0.5
22,86.87801541805267,164.38314903259277,0.01,0.5
23,93.82330775260925,172.62343048095704,0.01,0.5
24,92.62278081417084,180.45593780517578,0.01,0.5
25,103.76779288291931,188.64188735961915,0.01,0.5
26,99.88152794361115,196.38719734191895,0.01,0.5
27,109.67836461544037,203.88716926574708,0.01,0.5
28,135.35759819507598,210.27357200622558,0.01,0.5
29,141.81058139324188,217.03902015686035,0.01,0.5
30,130.20868575572968,223.5686813354492,0.01,0.5
31,158.9751517391205,229.45289611816406,0.01,0.5
32,150.17614062309266,235.16561988830566,0.01,0.5
33,167.58783331394196,240.50856216430665,0.01,0.5
34,180.9412783384323,245.8242571258545,0.01,0.5
35,180.2205515575409,250.82215560913085,0.01,0.5
36,178.36020507335664,255.68274543762206,0.01,0.5
37,195.7404218673706,260.0097069549561,0.01,0.5
38,220.15910792827606,263.5656880187988,0.01,0.5
39,226.22446278095245,267.7587857055664,0.01,0.5
40,226.96969192028047,271.25673934936526,0.01,0.5
41,230.61047236442565,274.9377340698242,0.01,0.5
42,202.3004568386078,279.10388381958006,0.01,0.5
43,233.6532622718811,282.5684048461914,0.01,0.5
44,225.03076206684113,286.05831451416014,0.01,0.5
45,220.4642059993744,289.51190368652345,0.01,0.5
46,251.70834705352783,293.05994873046876,0.01,0.5
47,239.12626217842103,296.14655685424805,0.01,0.5
48,247.74882917881013,299.3014698791504,0.01,0.5
49,244.95811359882356,302.82911666870115,0.01,0.5
50,261.3359636497498,306.3133995056152,0.01,0.5
51,253.03324885368346,309.22468994140627,0.01,0.5
52,247.1785737323761,312.8902323913574,0.01,0.5
53,257.1178447628021,316.61375518798826,0.01,0.5
54,293.73664250850675,319.78800384521486,0.01,0.5
55,239.12336731910705,323.47537338256836,0.01,0.5
56,251.7129376888275,326.970525970459,0.01,0.5
57,307.73859881401063,330.4048023986816,0.01,0.5
58,260.8281285858154,333.63843276977536,0.01,0.5
59,334.4462697124481,337.04204574584963,0.01,0.5
60,334.8212631225586,340.079270324707,0.01,0.5
61,311.4661658859253,343.1776643371582,0.01,0.5
62,349.9799664592743,346.50481079101564,0.01,0.5
63,358.2118008136749,349.3914949035645,0.01,0.5
64,358.8346352481842,352.05716705322266,0.01,0.5
65,339.99361207962033,354.6696319580078,0.01,0.5
66,327.3102207565308,357.6825581359863,0.01,0.5
67,368.80864488601685,360.5190451049805,0.01,0.5
68,361.6930147171021,363.6972242736816,0.01,0.5
69,361.66664196014403,366.5615461730957,0.01,0.5
70,403.5339939022064,368.86156188964844,0.01,0.5
71,410.0390774154663,370.7615063476562,0.01,0.5
72,400.4482855129242,373.1905319213867,0.01,0.5
73,391.75200106620787,375.3200965881348,0.01,0.5
74,364.0194489192963,377.0240548706055,0.01,0.5
75,348.8352917575836,379.4842701721191,0.01,0.5
76,359.9127079963684,381.84137634277346,0.01,0.5
77,396.95055339813234,383.3940733337402,0.01,0.5
78,403.9992124271393,385.53522689819334,0.01,0.5
79,395.54807872772216,387.0262452697754,0.01,0.5
80,371.08671858787534,389.36746795654295,0.01,0.5
81,401.83193002700807,391.3146015930176,0.01,0.5
82,390.44972979545594,392.4020286560059,0.01,0.5
83,402.20067593574527,393.9294071960449,0.01,0.5
84,442.2752040958405,395.2010905456543,0.01,0.5
85,420.67821043014527,396.33108322143556,0.01,0.5
86,459.6304352760315,396.5946469116211,0.01,0.5
87,428.84833486557005,396.77400527954103,0.01,0.5
88,508.00688377380374,397.2871308898926,0.01,0.5
89,324.4784501171112,398.86359954833983,0.01,0.5
90,403.1554934310913,400.36884857177733,0.01,0.5
91,408.2382269668579,400.0399188232422,0.01,0.5
92,406.83310209274293,401.41300643920897,0.01,0.5
93,357.12947135925293,402.81613189697265,0.01,0.5
94,482.84299443244936,403.23374893188475,0.01,0.5
95,370.8017652273178,403.94326354980467,0.01,0.5
96,403.7543583679199,404.7271319580078,0.01,0.5
97,503.5195457935333,404.63318466186524,0.01,0.5
98,410.11837010383607,404.20518142700195,0.01,0.5
99,412.012351436615,405.19472442626954,0.01,0.5
100,446.6620095729828,404.91778213500976,0.01,0.5
101,409.84583418369294,404.79750732421877,0.01,0.5
102,388.90859956264495,405.8715281677246,0.01,0.5
103,469.0270153808594,405.4644758605957,0.01,0.5
104,445.46732968330383,405.8936503601074,0.01,0.5
105,432.7513700628281,405.7598626708984,0.01,0.5
106,414.3658711338043,406.3774072265625,0.01,0.5
107,533.9202839231491,405.57159072875976,0.01,0.5
108,466.1455909824371,405.1858253479004,0.01,0.5
109,469.2560843372345,405.2825633239746,0.01,0.5
110,428.79308750391004,405.9603955078125,0.01,0.5
111,450.59035778045654,405.2128125,0.01,0.5
112,404.1332134962082,405.831526184082,0.01,0.5
113,508.0465105819702,405.80852432250975,0.01,0.5
114,417.16617500305176,406.09579238891604,0.01,0.5
115,405.9761652946472,406.4879460144043,0.01,0.5
116,401.1461494731903,407.2645945739746,0.01,0.5
117,473.89918895244597,407.4452714538574,0.01,0.5
118,426.45022344112397,407.93985260009765,0.01,0.5
119,424.1161940765381,408.34813079833987,0.01,0.5
120,431.3170969581604,408.60302978515625,0.01,0.5
121,428.3039871454239,409.5316159057617,0.01,0.5
122,433.2842173719406,410.11190216064455,0.01,0.5
123,426.38726016998294,410.42826904296874,0.01,0.5
