,critic,actor,tau,theta
0,13.271112823486328,0.248986696600914,0.01,0.0
1,30.94572742462158,1.5427612787485123,0.01,0.0
2,24.55177077293396,3.6957882583141326,0.01,0.0
3,20.002229299545288,6.6729831433296205,0.01,0.0
4,15.287286076545715,10.626649465560913,0.01,0.0
5,12.550452241897583,15.364077687263489,0.01,0.0
6,11.503350467681885,19.34961627960205,0.01,0.0
7,11.698174948692321,23.816357688903807,0.01,0.0
8,11.813063082695008,28.162581977844237,0.01,0.0
9,11.85519361972809,33.15717253684998,0.01,0.0
10,12.227252268791199,38.72718894958496,0.01,0.0
11,12.887671020030975,44.46659307479858,0.01,0.0
12,14.774140672683716,50.761484184265136,0.01,0.0
13,17.02151737213135,57.207562046051024,0.01,0.0
14,19.441385531425475,63.97796510696411,0.01,0.0
15,23.640800967216492,70.3716051864624,0.01,0.0
16,27.971301636695863,78.29088947296142,0.01,0.0
17,31.568691468238832,84.41472915649415,0.01,0.0
18,33.782242946624756,91.37456981658936,0.01,0.0
19,44.64438930511474,99.68842468261718,0.01,0.0
20,46.17881253242493,106.98828071594238,0.01,0.0
21,57.1358544921875,112.0637449645996,0.01,0.0
22,70.00978253364563,117.08937213897705,0.01,0.0
23,67.23818346977234,121.28783912658692,0.01,0.0
24,66.92075282096863,127.14187934875488,0.01,0.0
25,80.90396340370178,132.72575260162353,0.01,0.0
26,91.57470236778259,137.29891300201416,0.01,0.0
27,86.22433391571045,144.15876388549805,0.01,0.0
28,105.333628616333,148.92416526794435,0.01,0.0
29,111.69677154541016,152.14913742065428,0.01,0.0
30,103.14961254119874,154.51791984558105,0.01,0.0
31,118.01120725631714,158.23558326721192,0.01,0.0
32,113.7877893447876,160.9998201751709,0.01,0.0
33,126.02599397659301,162.5617770385742,0.01,0.0
34,131.80595411300658,164.91719413757323,0.01,0.0
35,130.79846910476684,168.32912391662597,0.01,0.0
36,128.70994510650635,169.62562774658204,0.01,0.0
37,126.81825218200683,170.69626792907715,0.01,0.0
38,152.28323656082154,173.41065650939942,0.01,0.0
39,145.0122303199768,174.3648536682129,0.01,0.0
40,147.34751621246338,176.42856147766113,0.01,0.0
41,145.4387378883362,178.6344316101074,0.01,0.0
42,135.34428102493285,180.70422180175783,0.01,0.0
43,156.61911308288575,182.3558664703369,0.01,0.0
44,148.42094137191773,183.6068458557129,0.01,0.0
45,135.93788488388063,184.0252840423584,0.01,0.0
46,137.42134298324584,184.71880531311035,0.01,0.0
47,134.20841015815733,186.13529403686525,0.01,0.0
48,136.86938059806823,186.85428871154784,0.01,0.0
49,125.61741998672485,188.99736351013183,0.01,0.0
50,137.02814094543456,190.1532810974121,0.01,0.0
51,132.3587097454071,191.6321984100342,0.01,0.0
52,127.01570236206055,192.63305946350098,0.01,0.0
53,120.45250208854675,194.30258041381836,0.01,0.0
54,132.33641229152678,195.97266250610352,0.01,0.0
55,111.0713391971588,197.70931030273437,0.01,0.0
56,108.85616619110107,200.26309539794923,0.01,0.0
57,132.46806999206544,201.8783504486084,0.01,0.0
58,111.9018451499939,203.39918228149415,0.01,0.0
59,130.6757356071472,205.53011100769044,0.01,0.0
60,138.87802699565887,207.6137385559082,0.01,0.0
61,118.27467656135559,209.91378730773926,0.01,0.0
62,133.97332231283187,212.28414009094237,0.01,0.0
63,133.78440947294234,214.3122344970703,0.01,0.0
64,125.5050860953331,216.98442176818847,0.01,0.0
65,127.40245996236801,219.13414016723632,0.01,0.0
66,120.33330703735352,221.91848495483399,0.01,0.0
67,136.62664110422133,224.46128410339355,0.01,0.0
68,134.77870750427246,226.9483864593506,0.01,0.0
69,136.0005573105812,229.38248107910155,0.01,0.0
70,159.20110992670058,231.55207084655763,0.01,0.0
71,156.19422030448914,233.63830268859863,0.01,0.0
72,151.56986404180526,235.75983963012695,0.01,0.0
73,144.08647865772247,237.68362899780274,0.01,0.0
74,138.09776327610015,239.9896061706543,0.01,0.0
75,133.01793257951738,242.5805591583252,0.01,0.0
76,138.07453807592393,244.75159057617188,0.01,0.0
77,154.2550950241089,246.7252406311035,0.01,0.0
78,154.34015651226045,248.96110389709472,0.01,0.0
79,154.80213295936585,250.68615135192871,0.01,0.0
