,critic,actor
0,4.6986208486557,0.0
1,11.903934144973755,0.0
2,10.88283903837204,0.0
3,10.550959098339082,0.0
4,10.530038602352143,0.0
5,11.306350893974304,0.0
6,12.673356788158417,0.0
7,16.314784994125365,0.0
8,21.798437066078186,0.0
9,31.649928245544434,0.0
10,42.71095234870911,0.0
11,58.57804080963135,0.0
12,78.48249061584472,0.0
13,90.74854667663574,0.0
14,126.0352518081665,0.0
15,144.11958095550537,0.0
16,160.92959506988527,0.0
17,162.25419595718384,0.0
18,173.24143253326417,0.0
19,197.9161511230469,0.0
20,205.09035522460937,0.0
21,208.31214477539064,0.0
22,221.15332080841065,0.0
23,210.19859298706055,0.0
24,201.63797634124757,0.0
25,217.01509593963624,0.0
26,193.00722091674805,0.0
27,197.23295787811279,0.0
28,208.48950214385985,0.0
29,196.8089960861206,0.0
30,182.9347034072876,0.0
31,187.03615013122558,0.0
32,171.36853809356688,0.0
33,164.34968639373778,0.0
34,165.82870664596558,0.0
35,162.8061457824707,0.0
36,142.70133899688722,0.0
37,139.48303588867188,0.0
38,136.02283308029175,0.0
39,122.53577156066895,0.0
40,125.38466634750367,0.0
41,101.89169969558716,0.0
42,97.63679651260377,0.0
43,93.98920583724976,0.0
44,88.70099891662598,0.0
45,87.32664231300355,0.0
46,89.27036399841309,0.0
47,81.03956340789794,0.0
48,72.90970129013061,0.0
49,65.47043096542359,0.0
50,65.63127179145813,0.0
51,66.2814421081543,0.0
52,62.91692925453186,0.0
53,67.71840043544769,0.0
54,65.03557566642762,0.0
55,70.57218098640442,0.0
56,63.06436209201813,0.0
57,61.03735481262207,0.0
58,64.62746802330017,0.0
59,66.80326979637147,0.0
60,69.06340025901794,0.0
61,69.3450657749176,0.0
62,74.98855015277863,0.0
63,80.51305536270142,0.0
64,73.25516831874847,0.0
65,80.8092461681366,0.0
66,75.9813107252121,0.0
67,73.7329076385498,0.0
68,75.97751183032989,0.0
69,62.08124269962311,0.0
70,70.00885419368744,0.0
71,67.32901228904724,0.0
72,74.27567446231842,0.0
73,74.39257928848266,0.0
74,67.7104527759552,0.0
75,73.98106074333191,0.0
76,67.57179711818695,0.0
77,71.66558099746705,0.0
78,73.14056982040405,0.0
79,63.3985822892189,0.0
80,69.48724884033203,0.0
81,63.10665536880493,0.0
82,67.48144137382508,0.0
83,63.91815987586975,0.0
84,61.259481518268586,0.0
85,67.96624323606491,0.0
86,55.90458510875702,0.0
87,52.67579854011536,0.0
88,58.23919774532318,0.0
