,critic,actor,cum_rewards
0,3.4802944970130922,0.0,-388.77171855437746
1,9.646311388015747,0.0,-505.70997170136303
2,11.373835384845734,0.0,-621.3148360778083
3,11.308758482933044,0.0,-375.4448827095027
4,11.155829124450683,0.0,-504.44662513814046
5,11.879521770477295,0.0,-518.9679241990283
6,11.309331243038178,0.0,-265.35456272879264
7,12.96467188835144,0.0,-614.0210510544603
8,15.762402229309082,0.0,-384.05860598075947
9,19.54075273990631,0.0,-365.30032559832256
10,26.644246072769164,0.0,-500.742640131504
11,36.65687168121338,0.0,-406.8367353273059
12,49.33002495765686,0.0,-618.2869488315245
13,68.71080711364746,0.0,-386.90895352072926
14,87.5940774154663,0.0,-496.6004278423071
15,99.49578704833985,0.0,-588.8089408652822
16,118.86219745635987,0.0,-389.33827643325446
17,134.26532955169677,0.0,-424.95602655615335
18,165.40411151885985,0.0,-514.5463430025349
19,181.38256160736083,0.0,-582.071859986206
20,184.24761741638184,0.0,-387.1199591862254
21,185.30530044555664,0.0,-262.74974636757184
22,192.6321813583374,0.0,-390.26712589170137
23,210.5539824295044,0.0,-507.1166407184567
24,196.6469408416748,0.0,-264.3090793349938
25,195.89342548370362,0.0,-390.6597810541748
26,213.80905574798584,0.0,-394.38139321244955
27,194.33474452972413,0.0,-393.67532941728825
28,207.98965675354003,0.0,-134.79096631191578
29,194.52706203460693,0.0,-520.5840502599713
30,190.47186767578125,0.0,-636.1369626240007
31,181.728364238739,0.0,-498.5562265684945
32,185.29124473571778,0.0,-267.79020444523314
33,180.23020015716554,0.0,-266.6180390951954
34,167.43490821838378,0.0,-503.11190638755016
35,155.42341020584107,0.0,-394.45376444569877
36,148.41572511672973,0.0,-266.4452633989074
37,143.93503202438353,0.0,-509.0732447107939
38,142.84992992401124,0.0,-628.1913367635743
39,131.10943065643312,0.0,-620.3683081432192
40,127.4146549987793,0.0,-392.8820801080268
41,117.45246603012085,0.0,-261.2571619131162
42,107.09721284866333,0.0,-536.9633943843861
43,104.59037651062012,0.0,-501.7121733407448
44,104.88718940734863,0.0,-386.5031187851205
45,85.42892168045044,0.0,-344.8892360493252
46,85.0493828201294,0.0,-324.1452689527266
47,90.14842324256897,0.0,-388.9012335943179
48,78.86941716194153,0.0,-391.8483088852739
49,68.46766519546509,0.0,-513.7608672251702
50,62.884301404953,0.0,-360.7965087034388
51,64.62717208862304,0.0,-513.1654607017648
52,59.98866790771484,0.0,-397.09609246925027
53,57.12893504142761,0.0,-263.0898074374919
54,58.18647532939911,0.0,-504.25224930945427
