,critic,actor,tau,theta
0,10.26492218017578,0.11326582387089729,0.01,1.0
1,29.772438011169434,1.0336330941319465,0.01,1.0
2,27.386746616363524,2.9013456904888155,0.01,1.0
3,26.58199578285217,4.878911204338074,0.01,1.0
4,24.785529346466063,7.414773552417755,0.01,1.0
5,21.801839218139648,10.77631817817688,0.01,1.0
6,18.691078987121582,15.147153172492981,0.01,1.0
7,15.988865036964416,20.609642362594606,0.01,1.0
8,13.91385124206543,27.088454303741454,0.01,1.0
9,12.508553133010864,34.33199251174927,0.01,1.0
10,11.646535923480988,42.41633283615112,0.01,1.0
11,12.6208807015419,50.96565208435059,0.01,1.0
12,14.916343529224395,60.235661067962646,0.01,1.0
13,17.303745980262757,70.39058917999267,0.01,1.0
14,20.354255669116974,80.58435955047608,0.01,1.0
15,24.974720695018767,90.00119827270508,0.01,1.0
16,30.219153838157652,99.39350261688233,0.01,1.0
17,34.87600515842438,107.94761135101318,0.01,1.0
18,39.25483009338379,116.07123878479004,0.01,1.0
19,49.197771525383,124.15763229370117,0.01,1.0
20,50.311749675273894,132.10158992767333,0.01,1.0
21,57.755370149612425,140.6748194885254,0.01,1.0
22,77.11649333953858,148.0309285736084,0.01,1.0
23,83.97691275596618,155.1131406402588,0.01,1.0
24,84.08002035617828,162.31904830932618,0.01,1.0
25,90.93808786392212,169.0893268585205,0.01,1.0
26,97.02627926826477,176.1092123413086,0.01,1.0
27,101.78747291564942,182.67880798339843,0.01,1.0
28,125.52220037460327,188.87302673339843,0.01,1.0
29,131.65879689216615,194.41813819885255,0.01,1.0
30,116.82498020172119,199.97302284240723,0.01,1.0
31,142.7028408050537,204.82905647277832,0.01,1.0
32,140.9597215938568,210.17537475585937,0.01,1.0
33,165.59067674636842,215.683628616333,0.01,1.0
34,174.91303430557252,220.18941551208496,0.01,1.0
35,163.4951623916626,224.37803009033203,0.01,1.0
36,166.8736760044098,228.61311378479004,0.01,1.0
37,185.7181190395355,231.34004806518556,0.01,1.0
38,205.59026500701904,234.9518977355957,0.01,1.0
39,206.19068799972536,237.7182410430908,0.01,1.0
40,215.77955041885377,240.9056746673584,0.01,1.0
41,229.16601348876952,243.91038993835448,0.01,1.0
42,217.70270038604735,247.2372548675537,0.01,1.0
43,240.62635961532592,249.68305435180665,0.01,1.0
44,240.25256998062133,251.58149642944335,0.01,1.0
45,231.22386310577392,253.37017051696776,0.01,1.0
46,237.4055146598816,255.56989280700682,0.01,1.0
47,240.98129529953002,256.8568952941894,0.01,1.0
48,239.75272594451906,257.8157204437256,0.01,1.0
49,244.5833004760742,258.8392475128174,0.01,1.0
50,250.0616888809204,260.89167007446287,0.01,1.0
51,230.66938478469848,261.4790391540527,0.01,1.0
52,235.72069103240966,262.2639826965332,0.01,1.0
53,223.84175989151,263.59102279663085,0.01,1.0
54,234.21245296478273,263.71598014831545,0.01,1.0
55,193.32539569854737,264.8524040222168,0.01,1.0
56,191.16828997612,265.19786521911624,0.01,1.0
57,228.0157299041748,265.7150946044922,0.01,1.0
58,192.58375396728516,266.34235626220703,0.01,1.0
