,critic,actor,cum_rewards,tau,theta
0,12.413683919906616,0.11657501868903637,-1370.1901753506581,0.05,1.0
1,29.485148315429687,0.939547593742609,-1287.8537138493912,0.05,1.0
2,28.582747526168824,2.6430756628513334,-1665.6540113949927,0.05,1.0
3,29.28115716934204,4.8020868790149684,-1717.552361890653,0.05,1.0
4,28.213142099380494,7.690758004188537,-1729.0332211607024,0.05,1.0
5,26.758676805496215,11.525028233528138,-1466.3860469704812,0.05,1.0
6,25.823763809204102,16.294597864151,-1789.6715858788168,0.05,1.0
7,25.377867612838745,22.415748405456544,-1610.8088283379866,0.05,1.0
8,25.367768869400024,29.640604267120363,-1844.9351702295467,0.05,1.0
9,25.891845502853393,38.377807493209836,-1548.7858204194913,0.05,1.0
10,26.736670207977294,48.41825433731079,-1593.3508296400557,0.05,1.0
11,29.93892343521118,59.98573871612549,-1561.188050470913,0.05,1.0
12,33.89600950241089,73.07901052474976,-1564.6768233140344,0.05,1.0
13,39.41955588340759,87.27579292297364,-1505.459024319388,0.05,1.0
14,47.04634419441223,102.93101833343506,-1624.471663338621,0.05,1.0
15,58.15610407829285,119.39856311798096,-1532.7135916510188,0.05,1.0
16,72.01849543571473,137.92989711761476,-1660.0625910954918,0.05,1.0
17,87.21220308303833,156.51025291442872,-1662.7273283934942,0.05,1.0
18,101.07745549201965,175.72359382629395,-1634.655647449847,0.05,1.0
19,129.51037625312804,196.2476870727539,-1769.995896082883,0.05,1.0
20,137.62021057128905,216.14580322265624,-1603.9005705804052,0.05,1.0
21,163.52812157630922,236.41929397583007,-1656.313962414379,0.05,1.0
22,221.05029101371764,255.61817565917968,-1378.960455232707,0.05,1.0
23,244.2414806365967,272.77862670898435,-1856.332902890837,0.05,1.0
24,252.71730437278748,289.59812927246094,-1800.4119609583802,0.05,1.0
25,279.49426387786866,307.2735043334961,-1636.0390627040892,0.05,1.0
26,292.862615070343,323.87552169799807,-1094.7070374322498,0.05,1.0
27,324.48264004707335,338.7671615600586,-1736.0996276695519,0.05,1.0
28,392.20503786087033,353.38688598632814,-1724.8872281161448,0.05,1.0
29,424.3322443199158,365.8008790588379,-1504.4221568461821,0.05,1.0
30,430.93578454971316,378.2276872253418,-1417.7335955773578,0.05,1.0
31,543.9653554916382,391.06731048583987,-1663.972054835451,0.05,1.0
32,550.4005071258545,401.7042135620117,-1401.6998017244262,0.05,1.0
33,617.0555017471313,406.44801010131835,-1536.2922611475633,0.05,1.0
34,681.9896350097656,410.69817306518553,-1507.5307018660242,0.05,1.0
35,653.2212207794189,410.8898542785644,-1584.8705074262627,0.05,1.0
36,595.9688778686524,413.6933760070801,-1518.7010678459865,0.05,1.0
37,652.3103221130372,414.5100912475586,-1666.3547394411166,0.05,1.0
38,748.9234927368165,415.1687187194824,-1665.0722358502167,0.05,1.0
39,748.3505825805664,413.7682078552246,-1501.6576231617596,0.05,1.0
40,734.8769859313965,413.2220176696777,-1649.2706122978077,0.05,1.0
41,773.4458190917969,414.15903747558593,-1595.9782996740673,0.05,1.0
42,740.405797958374,414.92907653808595,-1636.1797479088482,0.05,1.0
43,842.1628006744385,417.271595916748,-1648.7785348779462,0.05,1.0
44,820.5293377685547,419.1520120239258,-1585.1768714497764,0.05,1.0
45,817.131079711914,416.8454333496094,-1590.9337076590923,0.05,1.0
46,895.9216488647461,418.5596421813965,-1634.2247495371607,0.05,1.0
47,917.0928512573242,417.0471417236328,-1650.8711092752405,0.05,1.0
48,955.4299838256836,415.7571461486816,-1633.2116940148603,0.05,1.0
49,917.8988732910157,414.00693130493164,-1540.2191497352185,0.05,1.0
50,958.4285374450684,411.5384671020508,-1502.0068299573766,0.05,1.0
51,932.795640258789,408.1531007385254,-1577.4698292911976,0.05,1.0
52,913.2976915740967,406.0616909790039,-1591.0658800728268,0.05,1.0
53,920.0652062225341,404.19890121459963,-1455.3014874977941,0.05,1.0
54,921.4152224731446,400.4907507324219,-1492.2726302116134,0.05,1.0
55,798.8205120849609,395.872216796875,-1496.2921104826287,0.05,1.0
56,813.2083447265625,393.05793045043947,-1388.7924171820873,0.05,1.0
57,906.4756354522705,390.8489065551758,-1494.2976006453762,0.05,1.0
58,729.4212744140625,384.3027903747559,-1495.3728014432002,0.05,1.0
