,critic,actor,cum_rewards,tau,theta
0,10.651023416519164,0.14388391621410845,-1242.6230883004973,1.0,1.0
1,30.151845684051512,1.117522324025631,-1621.0809461598026,1.0,1.0
2,31.119859533309935,2.1680906474590302,-1637.8410954006276,1.0,1.0
3,32.642812986373904,3.999905096292496,-1817.0206156151098,1.0,1.0
4,32.893386888504025,6.928828649520874,-1627.719264925076,1.0,1.0
5,31.293754320144654,11.205872731208801,-1154.6206914609413,1.0,1.0
6,30.970942630767823,17.603114380836487,-1543.061538629805,1.0,1.0
7,30.664045305252074,25.222509689331055,-1571.388159203727,1.0,1.0
8,31.15394898414612,33.9446420955658,-1504.5700386665449,1.0,1.0
9,34.862695369720456,45.2556230545044,-1466.9361389650728,1.0,1.0
10,42.00504884719849,58.23554481506348,-1394.5368786498448,1.0,1.0
11,50.23620893478394,72.96160774230957,-1452.251084254075,1.0,1.0
12,63.71093822479248,89.07188346862793,-1377.4108879776345,1.0,1.0
13,79.73252946853637,104.76601570129395,-1383.6185188562908,1.0,1.0
14,94.14257656097412,120.49725315093994,-1371.0669153323083,1.0,1.0
15,110.6085737991333,135.79668632507324,-1467.3042167027806,1.0,1.0
16,124.77463926315308,151.96705825805665,-1673.737451563621,1.0,1.0
17,137.12173957824706,166.8019718170166,-1854.5764483705414,1.0,1.0
18,146.29856592178345,182.06655624389649,-1690.5745347278885,1.0,1.0
19,168.9621022796631,197.90367446899415,-1554.5339114598887,1.0,1.0
20,180.47925352096559,213.6737802886963,-1563.7411959381102,1.0,1.0
21,208.83183639526368,229.85228050231933,-1594.2307092361118,1.0,1.0
22,247.02217781066895,242.7561417388916,-1291.7015544303383,1.0,1.0
23,266.47223724365233,254.3755044555664,-1492.3430104367003,1.0,1.0
24,272.1741481399536,265.66056663513183,-1492.9162097692558,1.0,1.0
25,290.59834655761716,276.4459844970703,-1491.4531149207637,1.0,1.0
26,290.26132717132566,285.070751953125,-1503.2997231418833,1.0,1.0
27,301.90940185546873,291.5310841369629,-1508.5316831153425,1.0,1.0
28,343.4620288848877,295.139884185791,-1501.3825176418127,1.0,1.0
29,337.76369899749756,297.8407615661621,-1484.5969330373732,1.0,1.0
