,critic,actor,tau,theta
141,348.1871517944336,378.5330583190918,0.01,0.75
142,362.3938406348228,379.0767663574219,0.01,0.75
143,403.36051260471345,379.13320938110354,0.01,0.75
144,377.39747902631757,379.5420523071289,0.01,0.75
145,332.4898654389381,379.93981781005857,0.01,0.75
146,367.3478369641304,380.9324806213379,0.01,0.75
147,349.8407184815407,381.3714749145508,0.01,0.75
148,367.9609652042389,382.1538191223145,0.01,0.75
149,357.87056217193606,382.36639266967774,0.01,0.75
150,397.26152801275254,382.1342346191406,0.01,0.75
151,334.0227726507187,383.0206448364258,0.01,0.75
152,354.28827130556107,383.98406494140625,0.01,0.75
153,389.7201922464371,384.32580368041994,0.01,0.75
154,334.68126325130464,385.50956451416016,0.01,0.75
155,365.5473097658157,386.0290191650391,0.01,0.75
156,363.1739388871193,386.60090270996096,0.01,0.75
157,358.2323609519005,386.98379669189455,0.01,0.75
158,378.6497563123703,387.33741607666013,0.01,0.75
159,327.81378607034685,388.2078535461426,0.01,0.75
160,378.54146968841553,388.63631042480466,0.01,0.75
161,360.89848165512086,388.8483590698242,0.01,0.75
162,428.8095294857025,389.3857255554199,0.01,0.75
163,364.0205199146271,390.0926547241211,0.01,0.75
164,420.9250054740906,390.1133888244629,0.01,0.75
165,299.0208073806763,390.84214736938475,0.01,0.75
166,364.78274913072585,391.8381793212891,0.01,0.75
167,379.67274254083634,392.65130630493167,0.01,0.75
168,411.8826611804962,392.5629486083984,0.01,0.75
169,395.6525316977501,392.9997465515137,0.01,0.75
170,359.2260860800743,393.248028717041,0.01,0.75
171,373.2868282151222,393.5820629882812,0.01,0.75
172,341.8465683150291,394.60115417480466,0.01,0.75
173,413.91949378967286,393.98468826293947,0.01,0.75
174,399.2201029229164,393.93134872436525,0.01,0.75
175,431.2608650588989,393.57849319458006,0.01,0.75
176,405.1531294250488,393.5138899230957,0.01,0.75
177,338.5687349200249,393.73523590087893,0.01,0.75
178,443.12336373090744,393.7986036682129,0.01,0.75
179,395.52835452079773,393.93144256591796,0.01,0.75
180,379.17046317815783,394.2070132446289,0.01,0.75
181,357.17250663757324,394.4501054382324,0.01,0.75
182,376.4492983531952,395.14381759643555,0.01,0.75
183,333.779288611412,395.73158752441407,0.01,0.75
184,382.6841195034981,395.4897230529785,0.01,0.75
185,370.4249876999855,396.12891540527346,0.01,0.75
186,373.0273529243469,396.38677276611327,0.01,0.75
187,366.7696188879013,396.28862503051755,0.01,0.75
188,378.5142365026474,396.72521820068357,0.01,0.75
189,402.2851721072197,396.7487567138672,0.01,0.75
190,389.7439829921722,396.4173522949219,0.01,0.75
191,413.8581914591789,396.4486334228516,0.01,0.75
192,377.9342255616188,396.8479391479492,0.01,0.75
193,423.0885647726059,396.9242530822754,0.01,0.75
194,419.094169986248,396.8968360900879,0.01,0.75
195,389.296879799366,396.3896907043457,0.01,0.75
196,443.3129689836502,395.83921463012695,0.01,0.75
197,431.25460144996646,396.0442907714844,0.01,0.75
198,362.0951213717461,396.0926512145996,0.01,0.75
199,370.72005425691606,396.15717041015625,0.01,0.75
200,367.826451048851,396.4666893005371,0.01,0.75
201,413.58315590620043,396.4174298095703,0.01,0.75
202,365.79903863668443,396.21885375976564,0.01,0.75
203,375.0758702921867,396.34765853881834,0.01,0.75
204,429.43279162168506,395.97986129760744,0.01,0.75
205,350.36225098609924,395.5393251037598,0.01,0.75
206,374.27963844776156,396.0279862976074,0.01,0.75
207,435.2426081585884,395.32713333129885,0.01,0.75
208,440.7015674996376,394.7892321777344,0.01,0.75
209,326.9806221485138,394.958010559082,0.01,0.75
210,366.15947669029237,394.80635391235353,0.01,0.75
211,348.72153782367707,394.9260209655762,0.01,0.75
212,374.31716193675993,395.07827590942384,0.01,0.75
213,408.1545425629616,394.4628614807129,0.01,0.75
214,437.9001294875145,393.6966746520996,0.01,0.75
215,405.27853540420534,393.40844665527345,0.01,0.75
216,422.7058762550354,392.8771020507813,0.01,0.75
217,350.53217737674714,392.4632710266113,0.01,0.75
218,376.66866691589354,392.4743313598633,0.01,0.75
219,381.6653002762794,392.7706707763672,0.01,0.75
220,411.9029987096786,391.41698348999023,0.01,0.75
221,350.3596572971344,391.64545516967775,0.01,0.75
222,400.01767735004427,391.27859375,0.01,0.75
223,350.9386567664146,391.1389918518066,0.01,0.75
224,346.2839740157127,391.2824626159668,0.01,0.75
225,304.8979994750023,391.52988143920896,0.01,0.75
226,395.7696063661575,391.3305142211914,0.01,0.75
227,427.51087712287904,390.1681951904297,0.01,0.75
228,410.247105152607,389.57306518554685,0.01,0.75
229,344.18601180791853,389.7872213745117,0.01,0.75
230,383.94541486024855,389.0180769348145,0.01,0.75
231,384.1850775909424,388.2906265258789,0.01,0.75
232,330.77284405946733,388.648318939209,0.01,0.75
233,411.19964050769806,387.6623733520508,0.01,0.75
234,418.43889740228656,386.3918324279785,0.01,0.75
235,398.276996576786,386.0355372619629,0.01,0.75
236,351.6862095427513,385.59248504638674,0.01,0.75
237,340.43385848999026,385.60268814086913,0.01,0.75
238,340.23768193125727,385.7296675109863,0.01,0.75
239,354.90503199219705,384.98726211547853,0.01,0.75
240,376.6951025867462,384.62867111206054,0.01,0.75
241,346.3451662492752,384.68100173950194,0.01,0.75
242,375.7989171600342,384.1848211669922,0.01,0.75
243,359.35774886608124,383.45478424072263,0.01,0.75
244,366.53274599552157,383.64909423828124,0.01,0.75
245,373.2860338759422,383.32467849731444,0.01,0.75
246,312.7387080216408,383.35057601928713,0.01,0.75
247,292.3331936013699,383.6673522949219,0.01,0.75
248,332.96086118459704,383.6344398498535,0.01,0.75
249,373.08901331186297,383.7354132080078,0.01,0.75
250,399.7052769994736,382.6977958679199,0.01,0.75
251,404.81282954216005,381.8046694946289,0.01,0.75
252,326.07283298492433,382.23086334228515,0.01,0.75
253,365.0163726878166,381.54090728759763,0.01,0.75
254,326.425269138813,381.70356689453126,0.01,0.75
255,298.0213153409958,382.2332225036621,0.01,0.75
256,401.99356008052825,381.0762379455566,0.01,0.75
257,324.0834585380554,381.2545642089844,0.01,0.75
258,344.59507420301435,381.26682510375974,0.01,0.75
259,325.8414842581749,381.24745574951174,0.01,0.75
260,376.50802179574964,380.81355743408204,0.01,0.75
261,384.5749370098114,380.2655773925781,0.01,0.75
