,critic,actor,tau,theta
0,8.897414464950561,-0.05198764158412814,0.01,1.0
1,29.73364468574524,0.40123225157964043,0.01,1.0
2,28.775481481552124,1.4865365701913833,0.01,1.0
3,23.304411859512328,3.271395013332367,0.01,1.0
4,17.4374702835083,6.290847938060761,0.01,1.0
5,15.311108989715576,9.07840298652649,0.01,1.0
6,15.015363478660584,12.158064432144165,0.01,1.0
7,14.525006394386292,15.678546714782716,0.01,1.0
8,14.237752137184144,19.323347516059876,0.01,1.0
9,13.763033685684205,23.390534954071043,0.01,1.0
10,13.582220478057861,28.050427656173706,0.01,1.0
11,13.328924450874329,33.38212141036988,0.01,1.0
12,13.909769511222839,39.36859045028687,0.01,1.0
13,14.061326224803924,46.334751720428464,0.01,1.0
14,15.268949308395385,53.680041275024415,0.01,1.0
15,18.123406100273133,61.97893060684204,0.01,1.0
16,23.31175145626068,71.01502243041992,0.01,1.0
17,28.961248598098756,79.26031288146973,0.01,1.0
18,36.554317135810855,89.05333168029784,0.01,1.0
19,46.08937016963959,99.28586387634277,0.01,1.0
20,50.86592251777649,110.22639720916749,0.01,1.0
21,65.71026103019715,119.28451572418213,0.01,1.0
22,86.48377467155457,128.5445404815674,0.01,1.0
23,99.63374855995178,137.96977981567383,0.01,1.0
24,98.11388528823852,145.96717506408692,0.01,1.0
25,119.61311309814454,154.3629571533203,0.01,1.0
26,132.83337535858155,163.02074577331544,0.01,1.0
27,132.23689407348633,170.34116035461426,0.01,1.0
28,168.63059837341308,179.47412872314453,0.01,1.0
29,170.33522159576415,188.0341887664795,0.01,1.0
30,170.04796115875243,195.39841789245605,0.01,1.0
31,202.29858898162843,201.6965258026123,0.01,1.0
32,188.99571447372438,207.4822388458252,0.01,1.0
33,211.3822709274292,212.67199386596678,0.01,1.0
34,232.73670333862304,218.76877471923828,0.01,1.0
35,236.12616195678712,225.17885398864746,0.01,1.0
36,228.98581813812257,228.85149612426758,0.01,1.0
37,258.05203971862795,232.24756820678712,0.01,1.0
38,273.20619369506835,234.53471687316895,0.01,1.0
39,268.87251514434814,237.85295539855957,0.01,1.0
40,292.63175643920897,241.3305930328369,0.01,1.0
41,270.2236385726929,244.01251716613768,0.01,1.0
42,252.79671323776245,249.03069984436036,0.01,1.0
43,310.44398014068605,253.24861129760743,0.01,1.0
44,272.555890083313,256.99795989990236,0.01,1.0
45,305.1553021240234,262.61275230407716,0.01,1.0
46,325.550690498352,266.4304303741455,0.01,1.0
47,306.2417742538452,269.19808815002443,0.01,1.0
48,344.2392816162109,273.17684173583984,0.01,1.0
49,313.48884117126465,274.613381652832,0.01,1.0
50,322.7663930511475,276.4479814147949,0.01,1.0
51,298.3052075195312,278.53544204711915,0.01,1.0
52,309.88244777679444,280.3880307006836,0.01,1.0
53,297.10501556396486,282.8555709838867,0.01,1.0
54,320.25784187316896,285.5831053161621,0.01,1.0
55,288.5308965301514,287.8337962341309,0.01,1.0
56,300.84256427764893,292.0270556640625,0.01,1.0
57,346.835352973938,294.5535020446777,0.01,1.0
58,282.75067878723144,297.83985260009763,0.01,1.0
59,354.7874391555786,301.65547271728514,0.01,1.0
60,352.2716727638245,303.9443371582031,0.01,1.0
61,312.3241959953308,307.42399932861326,0.01,1.0
62,361.5797440719605,309.48600357055665,0.01,1.0
63,349.43438920974734,311.98586166381835,0.01,1.0
64,340.481469078064,314.43188049316404,0.01,1.0
65,314.75290075302127,318.070238494873,0.01,1.0
66,310.00196893692015,321.42697967529296,0.01,1.0
67,334.4023434829712,324.3925071716309,0.01,1.0
68,319.83100049972535,326.4403424072266,0.01,1.0
69,317.28333743095396,329.07438385009766,0.01,1.0
70,378.4609718608856,331.1737336730957,0.01,1.0
71,388.2035534286499,332.65219955444337,0.01,1.0
72,357.78498461723325,334.9126734924316,0.01,1.0
73,320.1507288169861,335.4263862609863,0.01,1.0
74,312.9796216011047,337.8961454772949,0.01,1.0
75,298.9639542865753,339.1580070495605,0.01,1.0
76,285.78244249343874,340.6883743286133,0.01,1.0
77,336.0883846282959,341.4654602050781,0.01,1.0
78,346.8358069419861,341.4940509033203,0.01,1.0
79,314.1545366382599,342.7905842590332,0.01,1.0
80,301.1158729982376,343.4947918701172,0.01,1.0
81,318.8102900218964,345.57416442871096,0.01,1.0
82,308.7711149406433,346.5680332946777,0.01,1.0
83,315.9691017436981,347.41866439819336,0.01,1.0
84,383.025762591362,347.57590454101563,0.01,1.0
85,331.7316539955139,348.9692872619629,0.01,1.0
86,372.91039146900175,349.88688018798825,0.01,1.0
87,333.0948931884766,350.33815536499026,0.01,1.0
88,399.97790122032166,351.4284130859375,0.01,1.0
89,255.08503355026244,353.25163696289064,0.01,1.0
90,319.7641085100174,354.3327870178223,0.01,1.0
91,334.14118235588074,353.7639630126953,0.01,1.0
92,307.9477555418014,354.81090103149415,0.01,1.0
93,280.79895991802215,356.3560632324219,0.01,1.0
94,379.1640478086472,356.3390069580078,0.01,1.0
95,282.8497564172745,357.11537170410156,0.01,1.0
96,311.11338167190553,357.913709564209,0.01,1.0
97,390.5858928871155,357.43640914916995,0.01,1.0
98,320.93061981201174,357.4641874694824,0.01,1.0
99,324.86645783424376,357.72872512817383,0.01,1.0
100,341.3643339061737,357.9446963500977,0.01,1.0
101,309.9075528717041,358.159529876709,0.01,1.0
