,critic,actor,tau,theta
0,11.904164085388183,0.14609310038387777,1.0,1.0
1,31.968398962020874,1.1420791134238244,1.0,1.0
2,35.16552624702454,3.4362620455026627,1.0,1.0
3,33.01723425865173,7.945274426937103,1.0,1.0
4,26.762530736923217,12.572108001708985,1.0,1.0
5,22.799362440109253,16.460549840927126,1.0,1.0
6,21.514663534164427,20.273725194931032,1.0,1.0
7,21.353585300445555,24.311928329467772,1.0,1.0
8,21.979587850570677,28.539584074020386,1.0,1.0
9,23.953736877441408,33.73165717124939,1.0,1.0
10,26.386021108627318,40.47967090606689,1.0,1.0
11,29.476194801330568,48.92654172897339,1.0,1.0
12,34.80476509094238,59.871776485443114,1.0,1.0
13,41.79741171836853,73.37418378829956,1.0,1.0
14,50.80737416267395,88.63529106140136,1.0,1.0
15,65.69083993911744,104.31489822387695,1.0,1.0
16,82.34118335723878,123.09287879943848,1.0,1.0
17,100.6772336769104,142.11197978973388,1.0,1.0
18,120.46581645965576,162.30026443481447,1.0,1.0
19,152.22677534103394,181.05769332885743,1.0,1.0
20,168.84795106887816,198.6259049987793,1.0,1.0
21,204.69515033721925,216.1400464630127,1.0,1.0
22,275.4985515975952,231.79710639953612,1.0,1.0
23,293.40396522521974,242.06152572631837,1.0,1.0
24,299.065714263916,250.951057510376,1.0,1.0
25,307.06199226379397,256.32432594299314,1.0,1.0
26,280.2960389709473,263.30467185974123,1.0,1.0
27,313.80555282592775,270.1923176574707,1.0,1.0
28,339.76481925964356,274.1104625701904,1.0,1.0
29,344.7989009475708,275.16224700927734,1.0,1.0
30,310.54810329437254,275.9345462036133,1.0,1.0
31,340.4656550598145,279.41270263671873,1.0,1.0
32,330.58165119171144,281.69785232543944,1.0,1.0
33,345.49963787078855,283.7888945007324,1.0,1.0
34,362.5029619216919,285.20242416381836,1.0,1.0
35,335.82514442443846,284.0349980163574,1.0,1.0
36,327.9740438079834,286.3646910095215,1.0,1.0
37,352.17110618591306,285.5474157714844,1.0,1.0
38,344.0741954040527,281.4084797668457,1.0,1.0
39,327.0929399108887,277.3378266906738,1.0,1.0
40,325.4025385665893,270.38281051635744,1.0,1.0
41,297.0089331817627,261.81783027648925,1.0,1.0
42,263.5360694503784,254.35408409118654,1.0,1.0
43,271.9135437774658,248.96803970336913,1.0,1.0
44,259.47009765625,245.81273345947267,1.0,1.0
45,253.20531372070312,242.88963027954102,1.0,1.0
46,254.04475063323974,239.70677047729492,1.0,1.0
47,237.69468338012695,237.17395980834962,1.0,1.0
48,232.41872243881227,236.03998260498048,1.0,1.0
49,217.6176313018799,233.44393516540526,1.0,1.0
50,210.59833263397218,231.79684494018554,1.0,1.0
51,201.56029405593873,231.8705581665039,1.0,1.0
52,187.8620195388794,230.31634651184083,1.0,1.0
53,180.44339225769042,228.16038833618165,1.0,1.0
54,183.17313655853272,224.6505318450928,1.0,1.0
55,146.230250749588,222.20772216796874,1.0,1.0
56,143.82839591979982,220.01104309082032,1.0,1.0
57,161.80334118843078,217.21801811218262,1.0,1.0
58,126.31018025398254,213.63670303344728,1.0,1.0
59,144.5070883655548,212.07306640625,1.0,1.0
60,139.5508588409424,210.93348258972168,1.0,1.0
61,128.5778307247162,211.03123710632323,1.0,1.0
62,141.5297553730011,213.3177304840088,1.0,1.0
63,138.70533571243286,215.73864227294922,1.0,1.0
64,140.73851756095885,220.4752505493164,1.0,1.0
65,132.7983643102646,223.23058143615722,1.0,1.0
66,134.13153708457946,228.77641250610353,1.0,1.0
67,154.4102084541321,231.09350776672363,1.0,1.0
68,154.6526564216614,235.01513084411621,1.0,1.0
69,149.02667716503143,237.71961761474608,1.0,1.0
70,168.9460362625122,240.8904736328125,1.0,1.0
71,175.0062491798401,241.70352981567382,1.0,1.0
72,171.20062428474426,244.87894607543944,1.0,1.0
73,167.31890629768372,247.8759553527832,1.0,1.0
74,163.75870331764222,249.5930199432373,1.0,1.0
75,153.80086505889892,256.0611302947998,1.0,1.0
76,162.7727244901657,261.03714874267575,1.0,1.0
77,175.6498332500458,265.1590655517578,1.0,1.0
78,186.1228133535385,270.7668743896484,1.0,1.0
79,185.37046521663666,276.0092465209961,1.0,1.0
80,191.39905015468597,282.82973236083984,1.0,1.0
81,211.94101583480835,288.9253952026367,1.0,1.0
82,208.84124891281127,292.7662420654297,1.0,1.0
83,221.12971492767335,298.13742889404296,1.0,1.0
84,250.91746492385863,305.12418273925783,1.0,1.0
85,242.3145972967148,307.95812225341797,1.0,1.0
86,266.2559212303162,308.6098175048828,1.0,1.0
87,248.62799698352813,310.0796321105957,1.0,1.0
88,293.3226557636261,312.21545150756833,1.0,1.0
89,194.19100059509276,316.4208419799805,1.0,1.0
90,245.83870367527007,321.6473789978027,1.0,1.0
91,253.63840986728667,324.2154768371582,1.0,1.0
92,253.6837169933319,327.896840057373,1.0,1.0
93,219.84043101787566,332.09127517700193,1.0,1.0
94,310.22370188713074,333.35465682983397,1.0,1.0
95,247.0716473722458,336.4129620361328,1.0,1.0
96,258.8227100992203,339.2649984741211,1.0,1.0
97,334.20452899456023,340.8895497131348,1.0,1.0
98,270.39438814640044,338.84483032226564,1.0,1.0
99,286.95741033554077,342.2015510559082,1.0,1.0
100,308.7090601348877,343.57866424560547,1.0,1.0
101,286.23772683143613,343.1757406616211,1.0,1.0
102,271.3894421005249,346.3383476257324,1.0,1.0
103,324.20602234363554,345.11502975463867,1.0,1.0
104,317.62786993503573,344.7723802185059,1.0,1.0
105,287.2782907104492,343.4766184997559,1.0,1.0
106,273.22088716030123,342.34053588867187,1.0,1.0
107,352.4429524230957,339.0840019226074,1.0,1.0
108,302.2327627849579,334.18367095947264,1.0,1.0
109,300.04131629943845,334.07786163330076,1.0,1.0
110,278.8798163461685,332.75622756958006,1.0,1.0
111,296.0859510087967,332.9265202331543,1.0,1.0
112,255.22678040981293,330.52438034057616,1.0,1.0
113,324.51519920825956,328.878349609375,1.0,1.0
114,262.2173396015167,326.57411056518555,1.0,1.0
115,260.35660603284833,327.00388229370117,1.0,1.0
116,247.88794629812242,327.5997587585449,1.0,1.0
117,291.306374130249,325.5250874328613,1.0,1.0
118,266.98450942516325,325.2100230407715,1.0,1.0
119,253.05422733306884,323.0455320739746,1.0,1.0
120,258.43286704063416,321.0322830200195,1.0,1.0
121,259.51843383312223,321.383416595459,1.0,1.0
122,256.6693553495407,320.0179179382324,1.0,1.0
123,246.4055038189888,319.95458694458006,1.0,1.0
124,258.1507913637161,317.3516661071777,1.0,1.0
125,235.85575880527497,317.11330963134765,1.0,1.0
126,255.37729102611542,317.6763883972168,1.0,1.0
127,249.86192535400392,317.2949459838867,1.0,1.0
128,242.77437811374665,318.7528489685059,1.0,1.0
129,257.69020138263704,315.62434020996096,1.0,1.0
130,266.5352838230133,315.54081573486326,1.0,1.0
131,256.77864782333376,314.3797526550293,1.0,1.0
132,218.58479358196257,315.7601062011719,1.0,1.0
133,250.20515484333038,317.7130625915527,1.0,1.0
134,261.8884416389465,316.7712437438965,1.0,1.0
135,235.47523532390593,316.27709701538083,1.0,1.0
136,247.89655127048493,315.2204248046875,1.0,1.0
137,225.51732740879058,319.1427992248535,1.0,1.0
138,279.53865676879883,318.7245166015625,1.0,1.0
139,256.6834716129303,316.5725849914551,1.0,1.0
140,270.12889570474624,316.8448078918457,1.0,1.0
141,239.75274446487427,318.0593434143066,1.0,1.0
142,243.24154001951217,319.0485566711426,1.0,1.0
143,280.91175325632094,318.4600277709961,1.0,1.0
144,250.57492784976958,317.392227935791,1.0,1.0
145,219.29102377176284,317.98666412353515,1.0,1.0
146,258.9190952062607,319.8090509033203,1.0,1.0
147,233.47481875896455,320.41740982055666,1.0,1.0
148,254.1494578742981,322.3620439147949,1.0,1.0
149,253.2070462179184,323.5870672607422,1.0,1.0
150,279.00399194002154,322.6949964904785,1.0,1.0
151,237.03909156799315,325.25021484375,1.0,1.0
152,250.14282390117646,327.9736935424805,1.0,1.0
153,276.6513902235031,326.49213165283203,1.0,1.0
154,234.37270418405532,328.4017016601563,1.0,1.0
155,266.6380425810814,330.86180465698243,1.0,1.0
156,265.36106859207155,332.3471913146973,1.0,1.0
157,263.66303027153015,333.0384330749512,1.0,1.0
158,273.5748561358452,333.99651397705077,1.0,1.0
159,236.67720786333084,337.2385557556152,1.0,1.0
160,281.42201175689695,336.8956326293945,1.0,1.0
161,266.80270639896395,337.3969659423828,1.0,1.0
162,307.0675492334366,336.65478622436524,1.0,1.0
163,252.964951069355,335.19368927001955,1.0,1.0
164,311.0895933914185,335.5246159362793,1.0,1.0
165,212.96349017858506,335.099677734375,1.0,1.0
166,260.97380684375764,338.6335430908203,1.0,1.0
167,285.9821367073059,339.97037979125975,1.0,1.0
168,301.2552317142487,339.1121144104004,1.0,1.0
169,288.63625742435454,338.11182510375977,1.0,1.0
170,259.37853551387786,338.95769775390625,1.0,1.0
171,281.96914495944975,338.5123789978027,1.0,1.0
172,238.93024523258208,340.7527934265137,1.0,1.0
173,301.95998803138735,340.4036190795898,1.0,1.0
174,288.71735513687133,338.54447082519533,1.0,1.0
175,310.5404834151268,336.1967726135254,1.0,1.0
176,302.25659566402436,336.52220901489255,1.0,1.0
177,255.45902482032776,336.4800607299805,1.0,1.0
178,316.71668261766433,335.75427536010744,1.0,1.0
179,285.808199505806,334.4149365234375,1.0,1.0
180,270.70548422813414,334.67267990112305,1.0,1.0
181,259.6262732601166,337.74177871704103,1.0,1.0
182,288.4418264889717,337.7514947509766,1.0,1.0
183,247.88509160995483,338.78467163085935,1.0,1.0
184,282.47686012506483,339.59775833129885,1.0,1.0
185,281.8314930152893,341.94006423950196,1.0,1.0
186,282.1535764837265,343.6239735412598,1.0,1.0
187,261.7664889574051,342.08291290283205,1.0,1.0
188,277.45519644737243,342.1101271057129,1.0,1.0
189,295.96487644672396,341.3043800354004,1.0,1.0
190,283.2750999879837,340.1001387023926,1.0,1.0
191,286.6021931314468,339.55043212890627,1.0,1.0
192,267.04130679130554,340.3015507507324,1.0,1.0
193,309.98663671970365,338.3158416748047,1.0,1.0
194,290.80850779533387,338.36676864624025,1.0,1.0
195,272.59160714149476,337.380725402832,1.0,1.0
196,312.33039181232454,336.6583494567871,1.0,1.0
197,309.3496027135849,335.0779441833496,1.0,1.0
198,252.97017179489137,333.6171839904785,1.0,1.0
199,259.93115943431854,334.360714263916,1.0,1.0
200,255.1456559085846,335.86801040649414,1.0,1.0
201,306.36397270679475,333.5984393310547,1.0,1.0
202,245.27074908256532,332.7323828125,1.0,1.0
203,263.2715936946869,333.7215769958496,1.0,1.0
204,305.73519715785983,333.367202911377,1.0,1.0
205,262.0955428743362,333.67620040893553,1.0,1.0
206,276.15088433265686,334.39085052490236,1.0,1.0
207,307.0947762680054,332.7534510803223,1.0,1.0
208,293.95455265522,328.9932362365723,1.0,1.0
209,222.53935943126677,328.0855551147461,1.0,1.0
210,242.75622614383698,330.23922317504883,1.0,1.0
211,234.61273072242736,334.5099514770508,1.0,1.0
212,274.53889521598813,333.37841873168946,1.0,1.0
213,282.9814994907379,330.47754989624025,1.0,1.0
214,315.3719910049438,330.1885693359375,1.0,1.0
215,286.7916297483444,326.73509765625,1.0,1.0
216,293.3162706708908,325.69917541503906,1.0,1.0
217,258.19167391300203,324.9610182189941,1.0,1.0
218,230.87646864891053,323.7588220214844,1.0,1.0
219,257.1273752808571,326.8765643310547,1.0,1.0
220,278.48853562355043,324.3213916015625,1.0,1.0
221,244.59261556625367,324.34185791015625,1.0,1.0
222,278.55198293685913,325.8898036193848,1.0,1.0
223,246.06627095222473,326.6332228088379,1.0,1.0
224,251.49636355400085,327.51194366455076,1.0,1.0
225,220.9227459859848,326.3657759094238,1.0,1.0
226,280.00389877796175,327.51848876953125,1.0,1.0
227,293.3700972175598,322.843642578125,1.0,1.0
228,266.2341368818283,319.58007705688476,1.0,1.0
229,237.7098336839676,317.66953735351564,1.0,1.0
230,257.23189626693727,315.8865843200684,1.0,1.0
231,245.49778148174286,312.651534576416,1.0,1.0
232,197.83035062789918,311.191270904541,1.0,1.0
233,257.2885462617874,309.5511430358887,1.0,1.0
