,critic,actor,cum_rewards,tau,theta
0,14.031147613525391,0.044319085263414305,-1559.1987969908091,0.01,0.5
1,33.01419629096985,0.5105642426013947,-1579.0067794664228,0.01,0.5
2,30.47119700431824,1.5352774864435197,-1604.629619308753,0.01,0.5
3,23.863436660766602,4.701906070709229,-1581.6198839780866,0.01,0.5
4,18.641040267944337,9.021921665668488,-1588.9570765769104,0.01,0.5
5,16.357372136116027,12.585534834861756,-1713.9468898804953,0.01,0.5
6,15.217600245475769,16.265712518692016,-1545.5266402199147,0.01,0.5
7,14.520790147781373,20.124704389572145,-1617.7588817464957,0.01,0.5
8,13.906477847099303,24.181609516143798,-1715.6336020853955,0.01,0.5
9,13.738065571784974,29.292418870925903,-1631.7900569150142,0.01,0.5
10,13.170806608200074,34.89539649963379,-1551.6238951452838,0.01,0.5
11,11.817656402587891,41.49221387863159,-1561.054537340133,0.01,0.5
12,13.5271644282341,48.55396501541138,-1332.5115342837985,0.01,0.5
13,13.788650949001312,56.38973783493042,-1207.4697291654845,0.01,0.5
14,16.392127442359925,64.43052011489868,-815.8345073725854,0.01,0.5
15,21.28961787939072,72.20384426116944,-1105.8365270645622,0.01,0.5
16,27.696635870933534,81.1925528717041,-1386.7446656137158,0.01,0.5
17,32.38201858043671,91.15946922302246,-1545.9769192169833,0.01,0.5
18,36.63711643218994,101.39006683349609,-1556.8970738553755,0.01,0.5
19,45.90696419239044,110.98750411987305,-1671.2093308680105,0.01,0.5
20,49.60798081874847,121.17902935028076,-1619.0303885965652,0.01,0.5
21,68.01079341411591,130.21347679138182,-1512.4108034470607,0.01,0.5
22,89.56062770843506,140.20206619262694,-1660.4100027906559,0.01,0.5
23,95.37681747436524,148.3799203491211,-1420.2396216822685,0.01,0.5
24,101.2413923740387,156.8407926940918,-1600.4347358425398,0.01,0.5
25,118.58116208076477,165.50630516052246,-1499.147674017495,0.01,0.5
26,116.63338583946228,172.97750526428223,-1519.828604206364,0.01,0.5
